model,attribute,group,threshold,n,events,non_events,tp,fp,tn,fn,flagged_n,flagged_rate,small_event_count,small_non_event_count,tpr,tpr_ci_low,tpr_ci_high,fpr,fpr_ci_low,fpr_ci_high
gradient_boosting,race,Missing,0.2,1917,141,1776,9,31,1745,132,40,0.020865936358894107,False,False,0.06382978723404255,0.0339412712841322,0.1168543572501859,0.017454954954954954,0.012323887265731793,0.024668991225996365
gradient_boosting,race,Missing,0.25,1917,141,1776,5,16,1760,136,21,0.010954616588419406,False,False,0.03546099290780142,0.015240176278430606,0.0803226476077131,0.009009009009009009,0.00555296109313136,0.01458448353322448
gradient_boosting,race,Other,0.05,1160,80,1080,70,812,268,10,882,0.7603448275862069,False,False,0.875,0.7849719790084033,0.9306644238399513,0.7518518518518519,0.7252287050912958,0.7766897217899895
gradient_boosting,race,Other,0.1,1160,80,1080,30,235,845,50,265,0.22844827586206898,False,False,0.375,0.2769417870153117,0.48451274536857003,0.2175925925925926,0.1940088814307562,0.2431781766619204
gradient_boosting,race,Other,0.15,1160,80,1080,12,71,1009,68,83,0.07155172413793104,False,False,0.15,0.08794040506163546,0.24413228561323347,0.06574074074074074,0.05244560329035738,0.08211416800625022
gradient_boosting,race,Other,0.2,1160,80,1080,8,29,1051,72,37,0.03189655172413793,False,False,0.1,0.05154761556738083,0.1851068880610409,0.026851851851851852,0.018760117967160476,0.038297543296307496
gradient_boosting,race,Other,0.25,1160,80,1080,5,14,1066,75,19,0.016379310344827588,False,False,0.0625,0.026989375670841982,0.13810148767274427,0.012962962962962963,0.007737274145757025,0.02164106210587536
gradient_boosting,gender,Female,0.05,37462,3368,34094,3066,27045,7049,302,30111,0.8037744914847045,False,False,0.9103325415676959,0.900210295132585,0.9195198237819362,0.7932480788408518,0.7889164442054651,0.7975136388878822
gradient_boosting,gender,Female,0.1,37462,3368,34094,1686,9343,24751,1682,11029,0.2944049970636912,False,False,0.5005938242280285,0.48371657648626015,0.5174697189101429,0.2740364873584795,0.26932767987194667,0.2787962088906913
gradient_boosting,gender,Female,0.15,37462,3368,34094,803,2940,31154,2565,3743,0.09991458010784261,False,False,0.23842042755344417,0.2243325369447656,0.2531043409396822,0.08623218161553353,0.08329897404298339,0.08925861925589149
