outcome,term,odds_ratio,ci_low,ci_high,p_value,p_adj_bh
has_stroke,high_bp,1.7856634304215755,1.698816566934017,1.8769500773704164,5.502515103063912e-115,4.539574960027727e-114
has_stroke,high_chol,1.3517145214180057,1.2929882154659695,1.4131081208298895,2.367664637809535e-40,8.44680357272591e-40
has_stroke,chol_checked,1.4108787493971313,1.1955331192460121,1.6650135520760927,4.63246405734666e-05,7.36729223578023e-05
has_stroke,smoker,1.225986700231936,1.174043460455697,1.2802280663121237,2.857819378565726e-20,7.25446457635915e-20
has_stroke,phys_activity,1.0215428256563417,0.9759676926561672,1.0692461979042012,0.3600269215174423,0.4205624215955963
has_stroke,eats_fruit,1.030561255610569,0.985667137810244,1.0775001629100622,0.18527376589761413,0.22856202895780436
has_stroke,eats_veg,0.8659040178276515,0.8241921716649956,0.909726874225678,1.0909869154423729e-08,1.946084768086395e-08
has_stroke,heavy_alcohol,0.8364166722589299,0.7511477364091,0.9313651838680116,0.0011297429444746911,0.0016755738052883062
has_stroke,mental_health_days,1.0060810649895375,1.0036641808124651,1.0085037691701897,7.794683895567198e-07,1.3362315249543768e-06
has_stroke,phys_health_days,1.006915119585732,1.0045818569403495,1.009253801515302,5.812954492600728e-09,1.0511095794839673e-08
has_stroke,difficulty_walking,1.7714806712892055,1.6830190536786687,1.8645919438000644,4.200146716120136e-106,3.0801075918214334e-105
has_stroke,has_coverage,1.090587451671397,0.9778422902252715,1.2163321239349412,0.1193484454817963,0.15003804574854393
has_stroke,skipped_care_cost,1.2230690244535949,1.1436880410280763,1.3079596751166391,4.070783715752799e-09,7.463103478880132e-09
has_stroke,age_band_2,0.9995769945137825,0.568802652711196,1.7565919624297481,0.9988264493419783,0.9988264493419783
has_stroke,age_band_3,1.8540566829359668,1.145796249355963,3.0001199475663394,0.011929565300415536,0.016932286232847857
has_stroke,age_band_4,2.226088786499054,1.4023300887278554,3.5337409681284537,0.0006885297701219409,0.0010568131355360023
has_stroke,age_band_5,2.8588717729214825,1.8231382775606109,4.483010375352892,4.729221583535971e-06,7.706879617614175e-06
has_stroke,age_band_6,3.1653631438771237,2.0328500720184874,4.928806098654849,3.3975296590256275e-07,5.979652199885104e-07
has_stroke,age_band_7,3.9220869594239267,2.533348901301589,6.072107205359607,8.886736956456111e-10,1.7000714177568212e-09
has_stroke,age_band_8,4.575252855688649,2.9609192053715114,7.069743293066534,7.434798869971668e-12,1.4869597739943337e-11
has_stroke,age_band_9,5.269506692455083,3.4130988160259297,8.135627556825462,6.385684528582362e-14,1.359532835117535e-13
has_stroke,age_band_10,6.209163672447407,4.022082663331186,9.585509980371576,1.6918648944830237e-16,3.7851892554535446e-16
has_stroke,age_band_11,7.83797109686681,5.075132570535556,12.104864269355762,1.6166671782106264e-20,4.1843150494863274e-20
has_stroke,age_band_12,9.027449731356866,5.8405630768503105,13.953252037494225,4.015592368738617e-23,1.152300418855429e-22
has_stroke,age_band_13,10.38519066372035,6.723709473088088,16.040577831851145,5.0121871043353576e-26,1.5036561313006074e-25
has_stroke,gen_health_2,1.4405014877082105,1.2949834246368581,1.6023715026865737,1.8486496976732575e-11,3.642115822281642e-11
has_stroke,gen_health_3,2.314572475217961,2.0870877371119363,2.566852196855812,6.42402972605224e-57,2.9240411166858472e-56
has_stroke,gen_health_4,3.4049037858446707,3.049572870907977,3.80163723958089,3.007588164187077e-105,2.0894823035404956e-104
has_stroke,gen_health_5,4.570879837519766,4.037515664985034,5.174702520720045,2.4087992070903115e-127,2.2711535381137224e-126
has_stroke,education_2,0.8492765887892113,0.47216074013291454,1.527595716794241,0.5854614097405386,0.649419378871858
has_stroke,education_3,1.0852336168023173,0.6071509497615928,1.939768032151302,0.782518415376896,0.8466592690963138
has_stroke,education_4,0.9855429318748474,0.5532172846316481,1.7557203969416701,0.9605777233553507,0.9753558421762023
has_stroke,education_5,1.0740185009987462,0.602700758868226,1.9139112130100986,0.8085895905217462,0.8538706075909639
has_stroke,education_6,1.0605931301467335,0.5948291194069389,1.8910603919928473,0.8419681631019709,0.8813551325155086
has_stroke,income_band_2,0.9534956532475561,0.8663315483992167,1.0494295889857561,0.3302655142620441,0.3927481791224308
has_stroke,income_band_3,0.8894535161415527,0.8093471077299382,0.9774885828597458,0.014982659658834723,0.021039479520916844
has_stroke,income_band_4,0.7948681682937653,0.7231230860313442,0.8737314810874385,1.9680523022703173e-06,3.3305500499959213e-06
has_stroke,income_band_5,0.7483935269802697,0.680944781209536,0.8225231864338489,1.8052155319668608e-09,3.356175355205995e-09
has_stroke,income_band_6,0.6503322544167387,0.5912822554324595,0.715279440992912,8.05068933779346e-19,1.9321654410704305e-18
has_stroke,income_band_7,0.5943360617358968,0.5384683563037989,0.6560002090084632,5.128174925241037e-25,1.504264644737371e-24
has_stroke,income_band_8,0.4826708844332656,0.43713589935963976,0.5329490966559148,4.624907669057553e-47,1.7442508923302773e-46
has_cardiac,const,0.0007203913040669692,0.0003958295180718569,0.0013110786519996177,5.3756760034243404e-124,4.73059488301342e-123
has_cardiac,sex,2.182517829091983,2.1154769606160526,2.2516832671707405,0.0,0.0
has_cardiac,bmi,1.0021512446358458,0.9998336240714043,1.0044742374591826,0.06889434510529088,0.09004013419701383
has_cardiac,high_bp,1.7794390401497389,1.7192682318102772,1.8417157014964487,1.831681888822053e-236,2.0148500777042582e-235
has_cardiac,high_chol,1.9078475717497287,1.8478105840793329,1.9698352138430353,0.0,0.0
has_cardiac,chol_checked,1.7680023554239988,1.553766016510288,2.011778025500476,5.299674504154829e-18,1.2272930430674341e-17
has_cardiac,smoker,1.4282150033736736,1.3849360062754053,1.4728464612220018,4.2592499887295264e-114,3.3071823441899854e-113
has_cardiac,phys_activity,1.0404708219454801,1.006336833204781,1.07576260313589,0.019746528975643798,0.02715147734151022
has_cardiac,eats_fruit,1.0105131784053123,0.9789314327614451,1.043113796898221,0.5185626331173223,0.5800870133176826
has_cardiac,eats_veg,1.0297019184514564,0.9926133772640405,1.0681762558803076,0.11785562700066457,0.1495859881162281
has_cardiac,heavy_alcohol,0.7132711567429015,0.6606880870340834,0.7700392258096084,5.242665874904947e-18,1.2272930430674341e-17
has_cardiac,mental_health_days,1.0029806549295275,1.0010818634538015,1.004883047917977,0.0020815413479442083,0.003052927310318172
has_cardiac,phys_health_days,1.0018516159004407,1.0000921414226573,1.0036141858434413,0.03914116078679172,0.05276714621742223
has_cardiac,difficulty_walking,1.4170919233440713,1.3648804760640565,1.4713006409161595,5.087526527178605e-74,2.91979783298946e-73
has_cardiac,has_coverage,1.0007574565578947,0.9235134233359171,1.0844622953487242,0.9852600983386651,0.9927811677916321
has_cardiac,skipped_care_cost,1.2983630399218995,1.2324575307695997,1.3677928377642214,8.904672615556193e-23,2.5008867771349305e-22
has_cardiac,age_band_2,1.2783889362798913,0.8113264618372957,2.0143288174058984,0.2897434678023404,0.34769216136280845
has_cardiac,age_band_3,1.8130722454416732,1.2066416254203374,2.7242810938548496,0.004181510946149806,0.005999559183606244
has_cardiac,age_band_4,1.9421827460703178,1.3097131078651632,2.880076404886666,0.0009595799404576208,0.0014393699106864312
has_cardiac,age_band_5,2.697154592437417,1.8401007987645563,3.9533936947315307,3.6619019035244906e-07,6.360145411384641e-07
has_cardiac,age_band_6,3.8270060481767865,2.630479560469148,5.56779665308237,2.282274926314068e-12,4.634773696514722e-12
